Date,Open,High,Low,Close
06/13/2025,97.81,98.59,97.62,98.18
06/12/2025,98.46,98.52,97.6,97.92
06/11/2025,98.96,99.22,98.53,98.63
06/10/2025,98.98,99.39,98.86,99.1
06/09/2025,99.2,99.23,98.82,98.94
06/06/2025,98.7,99.36,98.66,99.19
06/05/2025,98.8,98.94,98.35,98.74
06/04/2025,99.18,99.39,98.67,98.79
06/03/2025,98.59,99.33,98.58,99.23
06/02/2025,99.41,99.42,98.61,98.71
05/30/2025,99.25,99.67,99.13,99.33
05/29/2025,100.54,100.54,99.22,99.28
05/28/2025,99.53,99.96,99.44,99.88
05/27/2025,98.96,99.62,98.78,99.52
05/26/2025,99.88,99.94,99.05,99.11
05/23/2025,99.88,99.94,99.05,99.11
05/22/2025,99.64,100.12,99.44,99.96
05/21/2025,99.99,99.99,99.34,99.56
05/20/2025,100.43,100.58,100.01,100.12
05/19/2025,100.91,100.91,100.06,100.43
05/16/2025,100.77,101.26,100.52,101.09
05/15/2025,100.97,101.06,100.59,100.88
05/14/2025,100.95,101.14,100.27,101.04
05/13/2025,101.73,101.76,100.91,101.0
05/12/2025,100.69,101.98,100.51,101.79
05/09/2025,100.64,100.86,100.09,100.34
05/08/2025,99.85,100.76,99.61,100.64
05/07/2025,99.5,99.97,99.29,99.61
05/06/2025,99.83,100.1,99.17,99.24
05/05/2025,100.0,100.05,99.46,99.83
05/02/2025,100.18,100.33,99.4,100.03
05/01/2025,99.65,100.38,99.61,100.25
04/30/2025,99.17,99.71,99.14,99.47
04/29/2025,99.04,99.37,98.95,99.24
04/28/2025,99.61,99.84,98.9,99.01
04/25/2025,99.41,99.89,99.4,99.47
04/24/2025,99.75,99.84,99.22,99.38
04/23/2025,99.48,99.94,98.86,99.84
04/22/2025,98.3,99.65,98.01,98.92
04/21/2025,99.08,99.21,97.92,98.28
04/18/2025,99.23,99.75,99.22,99.38
04/17/2025,99.23,99.75,99.22,99.38
04/16/2025,100.06,100.1,99.17,99.38
04/15/2025,99.81,100.28,99.48,100.22
04/14/2025,100.02,100.16,99.21,99.64
04/11/2025,100.78,100.75,99.01,100.1
04/10/2025,102.99,103.03,100.7,100.87
04/09/2025,102.75,103.33,101.84,102.9
04/08/2025,103.43,103.44,102.75,102.96
04/07/2025,103.07,103.54,102.18,103.26
04/04/2025,101.99,103.18,101.54,103.02
04/03/2025,103.15,103.38,101.27,102.07
04/02/2025,104.2,104.31,103.37,103.81
04/01/2025,104.18,104.37,104.02,104.26
03/31/2025,104.01,104.39,103.75,104.21
03/28/2025,104.28,104.5,103.9,104.04
03/27/2025,104.65,104.65,104.07,104.34
03/26/2025,104.25,104.68,104.18,104.55
03/25/2025,104.33,104.47,103.94,104.18
03/24/2025,104.12,104.44,103.84,104.26
03/21/2025,103.78,104.22,103.76,104.09
03/20/2025,103.43,104.13,103.32,103.85
03/19/2025,103.27,103.91,103.25,103.43
03/18/2025,103.44,103.68,103.2,103.24
03/17/2025,103.72,103.81,103.3,103.37
03/14/2025,103.84,104.09,103.57,103.72
03/13/2025,103.61,104.08,103.51,103.83
03/12/2025,103.42,103.78,103.35,103.61
03/11/2025,103.84,103.92,103.22,103.84
03/10/2025,103.86,104.06,103.56,103.84
03/07/2025,104.11,104.24,103.46,103.84
03/06/2025,104.32,104.39,103.76,104.06
03/05/2025,105.62,105.77,104.26,104.3
