Date,Open,High,Low,Close,Volume
06/13/2025,142.48,143.58,140.86,141.97,"180,820,609"
06/12/2025,141.97,145.0,141.85,145.0,"162,364,984"
06/11/2025,144.61,144.99,141.87,142.83,"167,694,000"
06/10/2025,142.69,144.29,141.53,143.96,"155,881,906"
06/09/2025,143.19,145.0,141.94,142.63,"185,114,500"
06/06/2025,142.51,143.27,141.51,141.72,"153,986,203"
06/05/2025,142.17,144.0,138.83,139.99,"232,410,797"
06/04/2025,142.19,142.39,139.55,141.92,"167,120,797"
06/03/2025,138.78,142.0,137.95,141.22,"225,578,797"
06/02/2025,135.49,138.12,135.4,137.38,"197,663,109"
05/30/2025,138.72,139.62,132.92,135.13,"333,170,906"
05/29/2025,142.25,143.49,137.91,139.19,"370,615,188"
05/28/2025,136.03,137.25,134.79,134.81,"304,021,094"
05/27/2025,134.15,135.66,133.31,135.5,"192,953,594"
05/23/2025,130.0,132.68,129.16,131.29,"198,821,297"
05/22/2025,132.23,134.25,131.55,132.83,"187,344,000"
05/21/2025,133.06,137.4,130.59,131.8,"270,608,719"
05/20/2025,134.29,134.58,132.62,134.38,"161,514,203"
05/19/2025,132.39,135.87,132.39,135.57,"193,154,594"
05/16/2025,136.22,136.35,133.46,135.4,"226,542,500"
05/15/2025,134.3,136.3,132.66,134.83,"226,632,609"
05/14/2025,133.2,135.44,131.68,135.34,"281,180,812"
05/13/2025,124.98,131.22,124.47,129.93,"330,430,125"
05/12/2025,121.97,123.0,120.28,123.0,"225,023,297"
05/09/2025,117.35,118.23,115.21,116.65,"132,972,203"
05/08/2025,118.25,118.68,115.85,117.37,"198,428,094"
05/07/2025,113.05,117.68,112.28,117.06,"207,827,812"
05/06/2025,111.48,114.74,110.82,113.54,"158,525,594"
05/05/2025,112.91,114.67,112.66,113.82,"133,163,203"
05/02/2025,114.18,115.4,113.37,114.5,"190,194,797"
05/01/2025,113.08,114.94,111.3,111.61,"236,121,500"
04/30/2025,104.47,108.92,104.08,108.92,"235,044,609"
04/29/2025,107.67,110.2,107.44,109.02,"170,444,297"
04/28/2025,109.69,110.37,106.02,108.73,"207,708,500"
04/25/2025,106.85,111.92,105.73,111.01,"251,064,703"
04/24/2025,103.48,106.54,103.11,106.43,"220,815,016"
04/23/2025,104.52,104.8,102.02,102.71,"247,526,000"
04/22/2025,98.78,99.81,97.28,98.89,"241,004,797"
04/21/2025,98.77,99.44,95.04,96.91,"288,501,094"
04/17/2025,104.45,104.47,100.05,101.49,"292,517,500"
04/16/2025,104.55,106.79,100.45,104.49,"397,016,906"
04/15/2025,110.97,113.62,110.5,112.2,"228,966,891"
04/14/2025,114.11,114.29,109.07,110.71,"264,705,000"
04/11/2025,108.5,111.55,107.48,110.93,"313,417,312"
04/10/2025,109.37,110.86,99.15,107.57,"437,812,406"
04/09/2025,98.89,115.1,97.53,114.33,"612,918,250"
04/08/2025,103.81,105.85,94.46,96.3,"476,243,406"
04/07/2025,87.46,101.75,86.62,97.64,"611,041,250"
04/04/2025,98.91,100.13,92.11,94.31,"532,273,812"
04/03/2025,103.51,105.63,101.6,101.8,"338,769,406"
04/02/2025,107.29,111.98,106.79,110.42,"220,601,203"
04/01/2025,108.52,110.2,106.47,110.15,"222,614,000"
03/31/2025,105.13,110.96,103.65,108.38,"299,212,719"
03/28/2025,111.49,112.87,109.07,109.67,"229,872,500"
03/27/2025,111.35,114.45,110.66,111.43,"236,902,094"
03/26/2025,118.73,118.84,112.71,113.76,"296,431,719"
03/25/2025,120.55,121.29,118.92,120.69,"167,447,203"
03/24/2025,119.88,122.22,119.34,121.41,"228,452,500"
03/21/2025,116.94,117.99,115.42,117.7,"266,498,500"
03/20/2025,116.55,120.2,116.47,118.53,"248,829,703"
03/19/2025,117.27,120.45,115.68,117.52,"273,426,219"
03/18/2025,118.0,119.02,114.54,115.43,"299,686,906"
03/17/2025,122.74,122.89,118.03,119.53,"255,501,500"
03/14/2025,118.61,121.88,118.15,121.67,"277,593,500"
03/13/2025,117.03,117.76,113.79,115.58,"299,033,094"
03/12/2025,114.12,116.76,112.88,115.74,"323,857,500"
03/11/2025,106.99,112.24,104.77,108.76,"354,865,688"
03/10/2025,109.9,111.85,105.46,106.98,"366,487,406"
03/07/2025,111.25,113.48,107.56,112.69,"341,755,500"
03/06/2025,113.53,115.35,110.22,110.57,"321,181,875"
03/05/2025,117.58,118.28,114.51,117.3,"284,337,875"
03/04/2025,110.65,119.31,110.11,115.99,"398,163,281"
03/03/2025,123.51,123.7,112.28,114.06,"411,381,406"
02/28/2025,118.02,125.09,116.4,124.92,"389,091,094"
02/27/2025,135.0,135.01,120.01,120.15,"443,175,812"
02/26/2025,129.99,133.73,128.49,131.28,"322,553,781"
02/25/2025,129.98,130.2,124.44,126.63,"271,428,719"
02/24/2025,136.56,138.59,130.08,130.28,"251,381,109"
02/21/2025,140.04,141.46,134.03,134.43,"228,217,594"
02/20/2025,140.03,140.66,136.79,140.11,"143,903,594"
02/19/2025,139.51,141.36,137.22,139.23,"167,536,000"
02/18/2025,141.27,143.44,137.93,139.4,"219,176,609"
02/14/2025,136.48,139.25,135.5,138.85,"195,479,594"
02/13/2025,131.56,136.5,131.17,135.29,"197,430,000"
02/12/2025,130.02,132.24,129.08,131.14,"160,278,594"
02/11/2025,132.58,134.48,131.02,132.8,"178,902,406"
02/10/2025,130.09,135.0,129.96,133.57,"216,989,109"
02/07/2025,129.22,130.37,125.0,129.84,"228,186,297"
02/06/2025,127.42,128.77,125.21,128.68,"251,483,594"
02/05/2025,121.76,125.0,120.76,124.83,"263,110,594"
02/04/2025,116.96,121.2,116.7,118.65,"256,550,000"
02/03/2025,114.75,118.57,113.01,116.66,"371,235,719"
01/31/2025,123.78,127.85,119.19,120.07,"390,372,906"
01/30/2025,123.1,125.0,118.1,124.65,"392,925,500"
01/29/2025,126.5,126.89,120.05,123.7,"467,120,594"
01/28/2025,121.81,129.0,116.25,128.99,"579,666,438"
01/27/2025,124.8,128.4,116.7,118.42,"818,830,938"
01/24/2025,148.37,148.97,141.88,142.62,"234,657,594"
01/23/2025,145.05,147.23,143.72,147.22,"155,915,500"
01/22/2025,144.66,147.79,143.67,147.07,"237,651,391"
01/21/2025,139.16,141.83,137.09,140.83,"197,748,984"
01/17/2025,136.69,138.5,135.46,137.71,"201,188,797"
01/16/2025,138.64,138.75,133.49,133.57,"209,235,594"
01/15/2025,133.65,136.45,131.29,136.24,"185,217,297"
01/14/2025,136.05,136.38,130.05,131.76,"195,590,500"
01/13/2025,129.99,133.49,129.51,133.23,"204,808,891"
01/10/2025,137.45,139.92,134.22,135.91,"207,602,500"
01/08/2025,142.58,143.95,137.56,140.11,"227,349,906"
01/07/2025,153.03,153.13,140.01,140.14,"351,782,219"
01/06/2025,148.59,152.16,147.82,149.43,"265,377,406"
01/03/2025,140.01,144.9,139.73,144.47,"229,322,500"
01/02/2025,136.0,138.88,134.63,138.31,"198,247,203"
12/31/2024,138.03,138.07,133.83,134.29,"155,659,203"
12/30/2024,134.83,140.27,134.02,137.49,"167,734,703"
12/27/2024,138.55,139.02,134.71,137.01,"170,582,594"
12/26/2024,139.7,140.85,137.73,139.93,"116,519,102"
12/24/2024,140.0,141.9,138.65,140.22,"105,157,000"
