Date,Open,High,Low,Close,Volume
06/13/2025,527.68,531.87,525.73,526.96,"55,814,441"
06/12/2025,531.09,534.64,530.84,533.66,"34,104,887"
06/11/2025,535.62,536.78,530.11,532.41,"53,701,031"
06/10/2025,531.17,534.9,528.89,534.21,"40,664,801"
06/09/2025,530.14,532.35,529.01,530.7,"33,688,672"
06/06/2025,530.0,531.8,528.21,529.92,"42,467,020"
06/05/2025,530.18,533.05,522.66,524.79,"61,286,621"
06/04/2025,528.01,529.84,525.97,528.77,"41,359,320"
06/03/2025,523.56,528.74,522.69,527.3,"44,070,328"
06/02/2025,517.24,523.45,515.97,523.21,"44,762,820"
05/30/2025,519.44,520.68,511.93,519.11,"67,662,844"
05/29/2025,526.33,526.48,517.32,519.93,"58,724,070"
05/28/2025,522.18,523.68,518.39,518.91,"46,637,180"
05/27/2025,516.15,521.71,514.59,521.22,"47,226,320"
05/23/2025,506.18,511.84,505.58,509.24,"58,368,078"
05/22/2025,513.66,517.71,512.3,514.0,"55,607,168"
05/21/2025,516.27,523.0,511.24,513.04,"71,292,828"
05/20/2025,519.47,520.93,516.66,520.27,"42,517,559"
05/19/2025,514.24,522.53,514.24,522.01,"52,536,152"
05/16/2025,520.66,521.7,517.1,521.51,"48,394,602"
05/15/2025,516.52,521.93,515.17,519.25,"50,153,281"
05/14/2025,516.77,519.23,515.75,518.68,"47,014,520"
05/13/2025,509.16,517.39,508.42,515.59,"53,269,566"
05/12/2025,506.99,507.89,501.48,507.85,"45,090,621"
05/09/2025,490.21,491.54,486.2,487.97,"27,767,420"
05/08/2025,488.53,492.7,484.17,488.29,"39,577,594"
05/07/2025,482.08,485.8,476.78,483.3,"38,109,859"
05/06/2025,479.56,485.05,478.19,481.41,"32,786,309"
05/05/2025,484.6,489.03,484.1,485.93,"28,309,490"
05/02/2025,486.54,490.91,484.83,488.83,"39,218,078"
05/01/2025,483.41,487.18,480.74,481.68,"43,316,539"
04/30/2025,467.13,477.2,462.43,475.47,"46,810,609"
04/29/2025,470.17,476.42,469.59,475.53,"30,613,119"
04/28/2025,473.03,474.81,466.03,472.41,"33,550,781"
04/25/2025,466.97,473.09,465.39,472.56,"38,697,059"
04/24/2025,456.48,467.66,455.83,467.35,"45,956,141"
04/23/2025,458.17,463.38,452.88,454.56,"55,801,141"
04/22/2025,438.82,447.58,437.62,444.48,"52,304,391"
04/21/2025,438.23,439.08,427.93,433.11,"44,149,312"
04/17/2025,447.17,447.75,441.36,444.1,"44,837,047"
04/16/2025,449.03,452.62,437.76,444.18,"48,980,551"
04/15/2025,458.54,462.38,456.15,457.99,"35,404,207"
04/14/2025,464.46,465.05,452.63,457.48,"43,941,180"
04/11/2025,444.65,455.79,441.33,454.4,"52,483,781"
04/10/2025,453.56,455.59,432.63,446.18,"108,384,094"
04/09/2025,415.57,467.83,415.43,466.0,"142,876,891"
04/08/2025,438.16,443.14,409.79,416.06,"101,248,094"
04/07/2025,408.66,443.14,402.39,423.69,"161,556,984"
04/04/2025,438.14,440.37,422.67,422.67,"117,088,398"
04/03/2025,456.44,460.07,450.14,450.66,"70,456,336"
04/02/2025,466.12,479.56,465.86,476.15,"49,894,488"
04/01/2025,467.3,473.63,464.42,472.7,"41,156,230"
03/31/2025,461.92,469.86,457.33,468.92,"53,000,301"
03/28/2025,479.81,480.52,468.05,468.94,"46,363,801"
03/27/2025,482.41,486.58,480.25,481.62,"33,469,820"
03/26/2025,492.3,493.16,482.82,484.38,"35,043,359"
03/25/2025,491.39,493.62,490.42,493.46,"26,035,240"
03/24/2025,487.74,491.51,484.4,490.66,"34,567,191"
03/21/2025,474.08,481.61,472.91,480.84,"42,234,871"
03/20/2025,476.88,484.55,476.18,479.26,"36,780,551"
03/19/2025,476.81,485.33,474.87,480.89,"40,430,328"
03/18/2025,479.41,479.61,472.41,474.54,"39,072,273"
03/17/2025,479.61,485.84,477.8,482.77,"41,744,352"
03/14/2025,473.73,480.56,473.12,479.66,"43,563,008"
03/13/2025,476.25,476.28,466.43,468.34,"46,563,352"
03/12/2025,479.16,481.06,471.79,476.92,"46,971,078"
03/11/2025,472.35,478.81,467.01,471.6,"68,760,766"
03/10/2025,483.45,483.97,468.66,472.73,"76,668,031"
03/07/2025,487.16,493.28,480.53,491.79,"54,714,727"
03/06/2025,493.69,498.58,486.2,488.2,"57,574,328"
03/05/2025,496.2,503.63,491.26,502.01,"46,323,727"
03/04/2025,494.18,503.74,487.74,495.55,"67,875,398"
03/03/2025,511.52,513.04,493.58,497.05,"44,587,199"
02/28/2025,500.13,508.78,496.93,508.17,"47,654,039"
02/27/2025,518.13,519.07,500.05,500.27,"52,447,969"
