Date,Open,High,Low,Close,Volume
2024-06-13,543.15,543.33,539.59,542.45,"44,760,953"
2024-06-14,540.88,542.81,539.85,542.78,"40,089,898"
2024-06-17,542.08,548.53,541.61,547.1,"55,839,461"
2024-06-18,547.16,548.62,546.73,548.49,"41,376,422"
2024-06-20,549.44,550.12,545.18,547.0,"70,328,234"
2024-06-21,544.4,545.65,543.02,544.51,"64,513,859"
2024-06-24,544.33,546.95,542.62,542.74,"45,528,648"
2024-06-25,543.99,545.2,542.44,544.83,"38,273,352"
2024-06-26,543.69,546.24,543.03,545.51,"38,550,641"
2024-06-27,545.37,546.96,544.61,546.37,"35,041,480"
2024-06-28,547.16,550.28,542.95,544.22,"76,144,547"
2024-07-01,545.63,545.88,542.52,545.34,"40,297,809"
2024-07-02,543.7,549.01,543.65,549.01,"40,434,793"
2024-07-03,548.69,551.83,548.65,551.46,"32,789,910"
2024-07-05,551.77,555.05,551.12,554.64,"41,488,391"
2024-07-08,555.44,556.25,554.19,555.28,"36,110,449"
2024-07-09,556.26,557.18,555.52,555.82,"27,314,131"
2024-07-10,557.07,561.67,556.77,561.32,"38,701,219"
2024-07-11,561.44,562.33,555.83,556.48,"53,054,180"
2024-07-12,557.63,563.67,557.15,559.99,"53,084,406"
2024-07-15,562.03,564.84,559.63,561.53,"40,584,289"
2024-07-16,562.87,565.16,562.1,564.86,"36,475,262"
2024-07-17,558.8,560.51,556.61,556.94,"57,118,961"
2024-07-18,558.51,559.52,550.43,552.66,"56,270,391"
2024-07-19,552.42,554.08,547.91,548.99,"65,509,078"
2024-07-22,553.0,555.27,551.02,554.65,"43,346,719"
2024-07-23,554.54,556.74,553.28,553.78,"34,439,559"
2024-07-24,548.86,549.17,540.29,541.23,"74,515,273"
2024-07-25,541.35,547.46,537.45,538.41,"61,158,289"
2024-07-26,542.28,547.19,541.49,544.44,"53,763,793"
2024-07-29,546.02,547.05,542.72,544.76,"39,515,820"
2024-07-30,546.26,547.34,538.52,542.0,"46,853,633"
2024-07-31,548.98,553.5,547.58,550.81,"65,663,391"
2024-08-01,552.57,554.87,539.43,543.01,"76,428,727"
2024-08-02,535.75,536.99,528.6,532.9,"82,789,070"
2024-08-05,511.64,523.58,510.27,517.38,"146,267,391"
2024-08-06,519.22,529.75,517.87,522.15,"84,826,312"
2024-08-07,528.47,531.59,518.05,518.66,"70,698,336"
2024-08-08,523.91,531.29,521.84,530.65,"63,276,594"
2024-08-09,529.81,534.51,528.56,532.99,"45,619,559"
2024-08-12,534.21,535.73,530.95,533.27,"42,542,070"
2024-08-13,536.53,542.28,536.28,542.04,"52,333,070"
2024-08-14,542.85,544.96,540.12,543.75,"42,446,930"
2024-08-15,549.5,553.36,548.88,553.07,"60,846,809"
2024-08-16,551.42,555.02,551.26,554.31,"44,430,727"
2024-08-19,554.73,559.61,553.86,559.61,"39,121,793"
2024-08-20,559.15,560.84,557.33,558.7,"33,732,262"
2024-08-21,559.77,562.11,554.73,560.62,"41,514,602"
2024-08-22,562.56,563.18,554.98,556.22,"56,121,461"
2024-08-23,559.53,563.09,557.29,562.13,"50,639,391"
2024-08-26,563.18,563.91,559.05,560.79,"35,788,609"
2024-08-27,559.49,562.06,558.32,561.56,"32,693,900"
2024-08-28,561.21,561.65,555.04,558.3,"41,066,020"
2024-08-29,560.31,563.68,557.18,558.35,"38,715,180"
2024-08-30,560.77,564.2,557.14,563.68,"62,700,113"
2024-09-03,560.47,560.81,549.51,552.08,"60,523,000"
2024-09-04,550.2,554.43,549.46,550.95,"47,224,941"
2024-09-05,550.89,553.8,547.1,549.61,"44,264,262"
2024-09-06,549.94,551.6,539.44,540.36,"68,493,805"
2024-09-09,544.65,547.71,542.68,546.41,"40,445,820"
