Date,Open,High,Low,Close,Volume
06/13/2025,94.52,95.32,94.01,94.44,"18,694,740"
06/12/2025,94.89,95.26,93.43,94.83,"17,845,699"
06/11/2025,97.29,97.29,95.35,95.8,"16,389,619"
06/10/2025,97.29,98.09,96.48,97.32,"17,162,471"
06/09/2025,97.4,97.85,96.77,97.45,"13,655,700"
06/06/2025,98.37,98.56,96.97,97.47,"15,599,290"
06/05/2025,99.3,99.59,97.61,97.96,"15,825,280"
06/04/2025,99.79,100.13,99.32,99.35,"11,115,650"
06/03/2025,99.57,100.89,98.57,99.98,"15,598,640"
06/02/2025,98.84,99.91,98.05,99.77,"16,999,211"
05/30/2025,96.96,98.93,96.6,98.72,"29,980,070"
05/29/2025,97.63,97.77,96.85,97.1,"14,343,740"
05/28/2025,97.52,98.24,97.06,97.24,"11,220,100"
05/27/2025,97.3,97.8,96.58,97.58,"17,180,939"
05/23/2025,95.34,96.54,95.0,96.34,"13,668,620"
05/22/2025,96.54,96.96,95.82,95.93,"13,712,160"
05/21/2025,97.13,97.76,95.98,96.43,"15,742,340"
05/20/2025,98.56,98.82,96.52,97.8,"15,609,610"
05/19/2025,96.65,98.28,95.81,98.12,"20,041,570"
05/16/2025,96.14,99.19,96.0,98.24,"33,746,191"
05/15/2025,94.3,96.72,91.89,96.35,"44,026,129"
05/14/2025,96.03,97.33,95.83,96.83,"25,620,109"
05/13/2025,96.5,97.32,95.23,95.88,"19,746,660"
05/12/2025,97.67,97.97,95.62,96.75,"26,783,930"
05/09/2025,96.75,97.2,96.29,96.72,"13,697,820"
05/08/2025,98.75,99.33,97.36,97.43,"14,461,120"
05/07/2025,98.55,99.23,98.31,98.83,"11,310,190"
05/06/2025,98.74,99.47,98.41,98.55,"10,626,000"
05/05/2025,98.94,99.74,98.53,99.33,"12,439,130"
05/02/2025,97.95,99.22,97.85,98.75,"16,031,370"
05/01/2025,97.02,97.9,96.59,97.41,"13,171,780"
04/30/2025,95.94,97.78,94.93,97.25,"21,639,859"
